 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
88,,765.527,121.174,0.655,46.589,430,1182,141.796,28.335,1.535,0.651,0.912
89,,629.474,102.815,0.748,37.061,1361,1189,98.945,23.891,1.444,0.692,0.923
90,,1368.687,183.419,0.511,63.776,1648,1206,136.292,37.22,1.645,0.608,0.796
91,,1157.483,177.467,0.462,58.03,1913,1202,92.679,39.858,1.535,0.651,0.707
92,,966.389,154.073,0.512,54.542,2049,1214,124.875,30.669,1.799,0.556,0.827
93,,723.93,114.511,0.694,42.244,705,1293,35.858,24.161,1.768,0.566,0.938
94,,517.552,97.527,0.684,38.687,1637,1245,114.319,19.458,1.909,0.524,0.941
95,,2111.347,205.621,0.628,69.129,2221,1249,97.892,44.644,1.594,0.627,0.911
96,,1181.155,146.054,0.696,48.021,1956,1289,120.548,37.98,1.209,0.827,0.888
97,,1291.353,178.713,0.508,65.795,2427,1285,105.54,28.913,2.273,0.44,0.857
98,,650.847,126.467,0.511,50.399,33,1439,75.59,18.078,2.68,0.373,0.924
99,,699.454,122.743,0.583,35.488,1458,1403,83.418,30.237,1.165,0.858,0.868
100,,1100.373,172.605,0.464,62.802,1810,1318,135.437,29.732,2.215,0.452,0.783
101,,812.065,132.611,0.58,46.244,376,1348,154.374,26.449,2.077,0.481,0.828
102,,1030.279,142.925,0.634,53.792,2069,1328,124.992,28.981,1.937,0.516,0.888
103,,1537.374,169.599,0.672,62.391,820,1513,70.974,35.979,1.764,0.567,0.911
104,,2018.5,202.087,0.621,71.59,1301,1370,92.442,46.744,1.455,0.687,0.887
105,,952.255,145.807,0.563,60.078,682,1390,92.911,24.832,2.436,0.411,0.933
106,,1590.692,168.044,0.708,54.183,1692,1415,144.421,42.558,1.169,0.855,0.894
107,,1139.328,160.779,0.554,61.379,2304,1397,111.038,30.024,2.13,0.469,0.868
108,,1064.407,134.796,0.736,50.636,253,1539,62.92,29.647,1.695,0.59,0.945
109,,2021.143,210.935,0.571,80.951,1955,1411,126.486,42.529,1.958,0.511,0.863
110,,597.644,115.552,0.562,45.364,1549,1408,114.267,19.641,2.614,0.383,0.865
111,,1392.703,172.872,0.586,64.714,320,1530,31.942,34.949,1.798,0.556,0.87
112,,551.336,118.113,0.497,36.674,1064,1414,98.505,25.734,1.403,0.713,0.829
113,,675.898,121.14,0.579,45.054,745,1548,76.068,21.462,2.211,0.452,0.897
114,,1307.555,152.491,0.707,55.333,84,1588,67.677,33.756,1.64,0.61,0.922
115,,1191.727,175.851,0.484,70.212,583,1639,76.031,28.815,2.732,0.366,0.872
116,,707.038,109.881,0.736,35.754,1850,1449,111.701,25.727,1.386,0.722,0.923
117,,1991.152,228.281,0.48,86.048,2423,1460,106.007,38.186,2.233,0.448,0.824
118,,790.463,127.988,0.606,41.468,2125,1474,122.651,28.667,1.224,0.817,0.851
119,,704.625,135.193,0.484,44.152,858,1632,75.324,25.687,1.685,0.593,0.813
120,,1764.55,216.599,0.473,69.571,1632,1513,112.942,41.474,1.709,0.585,0.84
121,,720.942,136.849,0.484,47.729,1792,1657,73.496,22.996,2.048,0.488,0.824
122,,1271.474,178.44,0.502,66.189,1839,1569,140.194,35.331,2.322,0.431,0.837
123,,550.876,100.699,0.683,36.437,1996,1552,102.355,20.505,1.803,0.555,0.925
124,,524.332,96.815,0.703,33.489,242,1661,58.241,19.962,1.727,0.579,0.942
125,,1295.605,178.809,0.509,63.499,2163,1575,102.33,30.202,2.524,0.396,0.804
126,,666.82,116.38,0.619,41.964,1217,1709,80.233,23.852,1.905,0.525,0.916
127,,1201.149,177.289,0.48,62.396,2405,1615,91.557,29.58,2.1,0.476,0.854
128,,1462.453,169.865,0.637,60.856,2300,1619,99.62,34.546,1.58,0.633,0.903
129,,755.99,138.534,0.495,46.224,1319,1773,39.644,31.485,1.551,0.645,0.744
130,,941.109,158.621,0.47,58.362,1616,1659,110.751,23.634,2.47,0.405,0.866
131,,578.799,121.914,0.489,43.844,1741,1678,108.015,20.841,2.443,0.409,0.78
132,,770.928,136.049,0.523,44.635,244,1841,69.087,30.101,1.542,0.648,0.793
133,,649.698,117.373,0.593,44.003,1500,1859,74.358,22.252,2.102,0.476,0.883
134,,630.853,128.152,0.483,51.01,693,1749,94.574,21.962,2.377,0.421,0.837
